# sendbird	stream	automation	tier	section	note
`SendbirdChat.init({ appId, modules, localCacheEnabled })`	`new StreamChat(apiKey)` / `StreamChat.getInstance(apiKey)`	agent-guided	curated	1. Init, auth & user	-> sendbird-notes.md#sendbirdchat-init-appid-modules-localcacheenable
`SendbirdChat.connect(userId, authToken?)`	`client.connectUser({ id, name, image }, tokenOrProvider)`	agent-guided	curated	1. Init, auth & user	-> sendbird-notes.md#sendbirdchat-connect-userid-authtoken
`SendbirdChat.setSessionHandler` + `onSessionTokenRequired(resolve, reject)`	`tokenProvider: () => Promise<string>` as `tokenOrProvider`	agent-guided	curated	1. Init, auth & user	`resolve(token)` -> `return token`; `reject(err)` -> `throw err`. Stream re-invokes it on expiry automatically - don't imperatively push a token. A plain string token never refreshes.
`onSessionRefreshed` / `onSessionClosed` / `onSessionError`	- (gap)	manual	curated	1. Init, auth & user	No session-lifecycle callbacks. Fold refresh logic into the `tokenProvider`; for closed/error, catch the rejection and observe `isOnline === false` / `connectionRecovering` from `useChatContext`, then log out + `disconnectUser()`.
`ConnectionHandler` / `SendbirdChat.addConnectionHandler` / `connectionState` (`ConnectionState` enum)	`client.on('connection.changed' | 'connection.recovered', cb)` + `useChatContext().isOnline` / `connectionRecovering` (or `useIsOnline`)	agent-guided	curated	1. Init, auth & user	Reconnection is automatic - delete the reconnect state machine. Stream reports it via events + reactive context booleans, not a handler object or enum.
`useConnection().reconnect()`	-	manual	curated	1. Init, auth & user	No `reconnect()` call - automatic. Ensure a `tokenProvider` (not a static token) so re-auth is silent across a reconnect.
`SendbirdChat.disconnect()`	`client.disconnectUser()`	**codemod-safe**	curated	1. Init, auth & user	The one 1:1 rename. With `useCreateChatClient`, disconnect happens on unmount / `userData` change, so a manual call is only needed when switching users outside the hook.
`SendbirdChat.currentUser`	`client.user` (+ `client.userID`)	agent-guided	curated	1. Init, auth & user	Field renames everywhere: `userId` -> `id`, `nickname` -> `name`, `profileUrl` -> `image`, `lastSeenAt` (epoch ms) -> `last_active` (ISO string - convert).
`updateCurrentUserInfo({ nickname, profileUrl })`	`client.partialUpdateUser({ id: client.userID, set: { name, image } })`	agent-guided	curated	1. Init, auth & user	No dedicated current-user method; `set`/`unset` are field-level. Full replace via `upsertUser`.
`User.createMetaData` / `updateMetaData` / `deleteMetaData`	`client.partialUpdateUser({ id, set: {...} })` / `{ unset: [key] }`	agent-guided	curated	1. Init, auth & user	No separate metaData map - custom data is top-level user fields; values widen from string-only to any JSON.
`SendbirdChatSDK` / `SendbirdChat` type	`StreamChat`	agent-guided	curated	1. Init, auth & user	Replace type annotations with the `StreamChat` client instance type.
`SendbirdUser`	`UserResponse` (`OwnUserResponse` for self)	agent-guided	curated	1. Init, auth & user	`userId`->`id`, `nickname`->`name`, `profileUrl`->`image`, metaData -> top-level custom fields.
`LogLevel` (init enum)	`LogLevel` string-union + `{ logger }` option	agent-guided	curated	1. Init, auth & user	No init-time enum flag; filter levels inside a `logger` callback passed in `StreamChat` options.
Anonymous / guest connect	`client.connectAnonymousUser()` / `client.setGuestUser({ id, name })`	agent-guided	curated	1. Init, auth & user	**Capability gain, not a rename** - Sendbird had no anonymous connect. Use for read-only watchers (livestream) or temporary guests; both are auth-scoped server-side (no secret on device).
